id,date,category,region,status,value,amount,quantity,cost,profit
260,2023-06-13,C,Este,Pendiente,57.07,6849.96,91,75.68,1026.88
261,2023-07-04,B,Centro,Activo,99.78,2187.54,53,40.85,324.5
262,2023-01-09,A,Este,Inactivo,53.34,382.88,21,20.85,61.75
263,2023-07-09,A,Norte,Inactivo,65.92,141.15,25,5,28.29
264,2023-08-19,B,Centro,Pendiente,83.23,1462.6,39,35.96,221.87
265,2023-01-14,A,Norte,Pendiente,85.5,202.49,19,9.87,36.13
266,2023-03-22,A,Este,Activo,67.37,766.17,26,33.16,114.33
267,2023-04-13,A,Centro,Pendiente,84.32,4324.49,66,65.4,640.77
268,2023-09-12,D,Norte,Inactivo,67.8,259.46,20,12.1,44.42
269,2023-02-25,B,Este,Activo,86.35,1448.83,40,35.41,217.92
270,2023-05-09,B,Este,Activo,57.38,545.38,14,41.42,84.9
271,2023-06-13,C,Oeste,Pendiente,72.04,902.31,32,29.49,131.09
272,2023-12-27,C,Centro,Activo,101.26,872.79,28,30.6,133.34
274,2023-07-14,B,Norte,Pendiente,85.59,275.24,11,14.75,44.88
275,2023-04-30,B,Sur,Activo,104.16,1911.08,38,48.9,284.12
276,2023-12-08,B,Norte,Activo,90.15,3211.72,55,58.67,478.42
277,2023-07-08,A,Centro,Inactivo,77.29,512.88,21,26.77,74.75
278,2023-12-21,B,Norte,Pendiente,79.68,10121.68,111,90.63,1510.6
279,2023-08-17,C,Centro,Activo,97.52,579.68,14,38.58,85.66
280,2023-09-07,A,Centro,Activo,93.79,441.91,12,34.99,428.9795395650162
281,2023-04-20,B,Sur,Inactivo,55.9,1180.73,19,28.65,76.09
282,2023-10-11,B,Sur,Pendiente,74.42,4702.83,95,50.62,703.49
283,2023-02-15,A,Centro,Inactivo,73.99,575.33,17,34.85,85.87
284,2023-06-27,A,Centro,Activo,87.61,1049.79,35,30.23,158.43
285,2023-07-09,D,Norte,Activo,93.76,2527.92,45,55.78,379.17
286,2023-04-25,C,Norte,Activo,80.67,8003.09,104,77.01,1191.38
287,2023-05-29,B,Norte,Inactivo,80.17,344.98,10,29.81,49.57
288,2023-07-20,C,Centro,Activo,104.83,15668.34,158,99.03,2341.79
289,2023-12-18,B,Norte,Activo,95.9,234.5,16,16.84,44.91
290,2023-03-30,A,Este,Activo,89.97,288.88,11,27.81,43.19
292,2023-03-13,C,Sur,Activo,79.33689264229524,1107.23,23,47.94,167.71
293,2023-08-20,A,Norte,Activo,99.08,12328.31,133,92.34,1842.6
294,2023-11-30,C,Norte,Activo,72.39,336.61,18,21.46,52.64
295,2023-11-13,B,Centro,Inactivo,99.51,539.94,18,24.68,84.11
296,2023-10-19,B,Sur,Inactivo,61.08,1717.21,31,54.64,249.43
298,2023-08-22,B,Sur,Inactivo,54.68,10550.28,139,76.13,1579.49
299,2023-05-23,B,Norte,Activo,92.47,10794.36,129,83.79,1616.45
300,2023-12-20,B,Centro,Inactivo,76.36,646.27,20,33.49,98.85
302,2023-04-25,A,Norte,Activo,88.48,2407.06,58,42.12,357.69
303,2023-08-04,B,Sur,Inactivo,58.67,2048.88,50,41.04,305.35
304,2023-01-26,A,Sur,Inactivo,55.91,1548.41,45,35.47,230.75
305,2023-08-18,C,Centro,Activo,101.46,3619.62,77,47.64,537.78
306,2023-10-18,C,Centro,Inactivo,72.33,50,9,5,3.92
307,2023-04-23,C,Centro,Inactivo,95.68,3919.07,66,59.88,587.03
308,2023-06-27,B,Sur,Inactivo,73.77,10880.16,128,84.69,1626.21
309,2023-11-15,B,Sur,Activo,75.29,683.37,17,41.45,100.34
310,2023-01-23,C,Oeste,Activo,75.93,312.47,15,21.15,48.29
311,2023-04-14,A,Oeste,Activo,70.03,1021.84,25,37.42,150.24
312,2023-05-30,B,Norte,Activo,93.83,4953.26,91,55.12,744.89
313,2023-02-24,B,Este,Activo,67.61,13366.73,136,98.17,1998.09
314,2023-07-27,B,Centro,Activo,95.37,702.03,40,19.59,111
315,2023-07-23,B,Centro,Activo,94.49,286.46,11,26.11,46.33
316,2023-03-15,B,Centro,Activo,105,561.9,17,30.29,83.94
317,2023-10-19,B,Centro,Pendiente,89.28,7039.96,107,65.44,1053.83
318,2023-03-05,B,Centro,Pendiente,86.69,317.91,11,29.86,49.12
320,2023-11-08,D,Sur,Activo,79.35,502.47,24,22.51,74.39
321,2023-05-08,C,Norte,Activo,98.07,2500.81,52,48.53,374.61
322,2023-05-28,B,Centro,Activo,103.65,2367.21,57,42.07,355.61
323,2023-05-28,A,Norte,Activo,78.63,7946.21,103,78.27,1189.84
324,2023-04-27,B,Centro,Activo,102.44,1014.29,35,28.47,155.69
325,2023-05-04,B,Norte,Activo,80.06,385.07,15,16.08,59.87
326,2023-04-26,B,Centro,Activo,90.04,372.46,17,21.09,48.26
327,2023-09-14,C,Centro,Activo,92.12,3922.85,69,57.18,587.14
328,2023-10-03,C,Norte,Pendiente,87.53,9451.46,108,86.98,1412.19
329,2023-05-20,A,Sur,Inactivo,56.48,745.16,23,32.53,109.99
330,2023-06-07,C,Sur,Inactivo,59.1,5112.49,85,59.95,761.22
331,2023-04-28,B,Norte,Inactivo,58.73,2414.41,51,48.09,359.66
332,2023-05-14,B,Centro,Inactivo,86.98,73.94,4,34.49,15.66
333,2023-02-04,A,Norte,Activo,85.82,4125.83,80,51.98,617.51
334,2023-01-31,A,Centro,Pendiente,84.99,477.72,17,27.57,69.7
335,2023-04-14,A,Centro,Activo,96.72,237.44,23,11.68,38.9
336,2023-06-16,B,Sur,Activo,79.33689264229524,7631.59,94,80.82,1131.13
338,2023-01-29,D,Centro,Inactivo,72.79,55.03,6,17.01,7.09
339,2023-11-30,C,Centro,Activo,98.47,628.45,20,29.05,97.51
340,2023-10-18,D,Sur,Pendiente,53.3,3096.7,50,60.56,460.71
341,2023-04-14,C,Sur,Activo,85,1562.93,37,41.01,233.49
342,2023-10-07,A,Este,Pendiente,65.71,2323.77,46,51.47,348.34
343,2023-01-04,A,Sur,Activo,86.14,305.4,14,19.52,48.19
344,2023-04-28,B,Norte,Activo,87.79,947.93,31,30.08,142.34
345,2023-12-02,C,Norte,Activo,80.69,342.4,13,25.71,48.75
346,2023-03-24,A,Centro,Activo,85.2,1858.03,42,43.68,275.64
347,2023-05-29,B,Sur,Activo,73.43,1413.55,27,51.25,214.43
348,2023-05-29,A,Oeste,Activo,60.16,1638.56,57,30.49,247.08
349,2023-01-04,B,Centro,Activo,99.6,1458.03,35,42.1,218.08
350,2023-05-04,B,Sur,Activo,104.9,3077.99,57,55.41,458.75
351,2023-10-12,A,Sur,Activo,86.27,311.38,10,35.2,45.26
352,2023-05-27,A,Norte,Activo,93.8,458.17,29,15.28,68.36
353,2023-08-28,A,Norte,Inactivo,86.15,1452.07,39,38.34,428.9795395650162
354,2023-11-23,B,Este,Activo,59.65,3354.95,55,61.57,497.55
355,2023-12-01,C,Sur,Activo,77.99,374.85,21,19.42,60.93
356,2023-03-02,A,Sur,Activo,87.91,3399.84,57,59.28,506.55
357,2023-01-28,A,Sur,Activo,70.57,93.34,9,11.24,14.66
358,2023-08-18,B,Norte,Activo,78.3,2941.1,57,52.78,433.91
359,2023-01-23,A,Sur,Inactivo,51.31,3312.48,74,44.04,493.53
360,2023-01-11,A,Centro,Activo,88.29,1278.13,33,37.6,186.43
361,2023-06-21,A,Centro,Activo,85.46,1177.29,43,27.64,179.21
362,2023-01-28,A,Norte,Inactivo,86.25,541.99,25,22.01,77.92
363,2023-01-21,C,Sur,Inactivo,79.33689264229524,3271.95,68,47.41,485.55
364,2023-02-11,B,Centro,Activo,88.52,819.6,22,36.02,118.81
365,2023-06-05,B,Centro,Activo,91.95,4380.2,86,52.02,655.07
366,2023-09-24,A,Este,Inactivo,52.79,6047.11,92,65.08,901.24
367,2023-04-21,A,Norte,Activo,99.08,1180.73,62,57.56,532.29
368,2023-11-16,A,Norte,Activo,93.9,1128.27,36,33.48,170.67
369,2023-12-10,B,Centro,Activo,103.3,599.84,22,26.42,92.98
370,2023-07-19,D,Norte,Activo,100.73,194.63,10,21.86,34.82
371,2023-11-08,B,Norte,Inactivo,61.63,837.2,31,26.52,130.78
372,2023-02-06,A,Oeste,Activo,73.03,6615.15,90,72.51,989.77
373,2023-06-16,C,Este,Pendiente,62.33,786.51,29,27.39,118.6
374,2023-11-14,C,Centro,Inactivo,74.48,6608.29,92,72.63,985.04
375,2023-01-01,C,Norte,Activo,96.32,276.62,18,14.73,43.51
378,2023-07-08,B,Oeste,Activo,64.51,1185.4,42,28.08,181.49
379,2023-03-12,A,Norte,Activo,87.87,50,9,5,8.64
380,2023-08-21,B,Centro,Pendiente,100.16,5158.1,83,62.68,773.73
381,2023-11-05,A,Este,Pendiente,61.29,18947.08,166,113.62,2826.72
382,2023-04-29,A,Norte,Inactivo,73.59,508.71,14,33.9,224.1
383,2023-11-23,B,Oeste,Activo,76.58,1618.28,51,32.94,242.73
384,2023-02-02,D,Oeste,Activo,67.58,1136.34,29,38.62,168.3
385,2023-06-12,A,Sur,Pendiente,75.9,810.68,27,27.71,124.08
386,2023-11-23,C,Este,Pendiente,51.7,1502.26,41,38.08,221.21
388,2023-01-16,B,Norte,Activo,84.37,229.31,11,24.75,35.64
389,2023-12-31,C,Norte,Activo,90.63,1158.37,44,26.17,179.61
391,2023-08-06,B,Este,Inactivo,58.89,1358.17,36,37.81,206.88
392,2023-05-17,A,Sur,Activo,83.62,1595.74,38,43.32,235.31
393,2023-09-19,A,Sur,Activo,80.37,615.47,17,38.52,428.9795395650162
394,2023-09-19,A,Norte,Activo,76.1,3367.82,77,44.64,506.52
395,2023-10-15,C,Centro,Activo,79.33689264229524,852.93,23,35.09,428.9795395650162
